
id,topic,question,answer,law_refs,url
11.0,Аренда,Какие документы нужны для договора аренды жилого помещения?,"Паспорта сторон, договор аренды, акт приёма-передачи; при длительном сроке и необходимости — регистрация договора.",ГК РФ: ст. 606–625; ЖК РФ — применимые нормы,https://www.consultant.ru/document/cons_doc_LAW_5142/2ef3bc7a64ec6a1cc94ee9042ff3e8967a7dea9f/ https://www.consultant.ru/document/cons_doc_LAW_5142/c10b83b097f88695e4d9636ab949c2216339cb20/ https://www.consultant.ru/document/cons_doc_LAW_5142/49cbfe1b85bbff1dd6ec8abca9015ae04963144c/ https://www.consultant.ru/document/cons_doc_LAW_5142/241d7b6a696c3bb0f9fe17fdc3f0a2795f770d86/ https://www.consultant.ru/document/cons_doc_LAW_5142/663dc7b35d6fff4033e5fc382ec08f396d41c81e/ https://www.consultant.ru/document/cons_doc_LAW_51057/
12.0,Аренда,Нужно ли регистрировать договор аренды?,Договор аренды недвижимости на срок 1 год и более подлежит государственной регистрации.,ГК РФ: ст. 609–610; ФЗ-218,https://www.consultant.ru/document/cons_doc_LAW_5142/c10b83b097f88695e4d9636ab949c2216339cb20/ https://www.consultant.ru/document/cons_doc_LAW_5142/49cbfe1b85bbff1dd6ec8abca9015ae04963144c/ https://www.consultant.ru/document/cons_doc_LAW_182661/
13.0,Аренда,Кто оплачивает коммунальные услуги при аренде?,"Распределение фиксируется в договоре; при отсутствии — по общему правилу несёт собственник, если иное не согласовано.",ЖК РФ; ГК РФ: свобода договора,https://www.consultant.ru/document/cons_doc_LAW_51057/ https://www.consultant.ru/document/cons_doc_LAW_5142/ad08909251f4d26ebc935648e4e708a31e160348/
14.0,Аренда,"Что делать, если арендатор задерживает оплату?","Претензия, неустойка (если предусмотрена), при существенном нарушении — расторжение договора.","ГК РФ: ст. 450–452, 614",https://www.consultant.ru/document/cons_doc_LAW_5142/56aa5a2ba5028c8a83510bbe0a3275f06b1a149a/ https://www.consultant.ru/document/cons_doc_LAW_5142/095d0f6008a306ca1c1c73b9bab5e1ba426aaaaf/ https://www.consultant.ru/document/cons_doc_LAW_5142/cc5b64cf68545a7dcddcb680b167b1d545a5a9ac/ https://www.consultant.ru/document/cons_doc_LAW_5142/241d7b6a696c3bb0f9fe17fdc3f0a2795f770d86/
15.0,Аренда,Можно ли прописаться по адресу арендуемой квартиры?,Возможна временная регистрация с согласия собственника и при наличии договора.,Закон о свободе передвижения и регистрации; подзаконные акты МВД,https://www.consultant.ru/document/cons_doc_LAW_15110/
16.0,Аренда,Чем отличаются наём и аренда жилья?,"Для граждан — «наём» по ЖК РФ, для нежилых помещений — «аренда» по ГК РФ; режимы отличаются.",ЖК РФ; ГК РФ,https://www.consultant.ru/document/cons_doc_LAW_51057/ https://www.consultant.ru/document/cons_doc_LAW_5142/
17.0,Аренда,Можно ли повысить арендную плату в одностороннем порядке?,Только если это предусмотрено договором и соблюдена процедура уведомления.,"ГК РФ: ст. 450, 614",https://www.consultant.ru/document/cons_doc_LAW_5142/56aa5a2ba5028c8a83510bbe0a3275f06b1a149a/ https://www.consultant.ru/document/cons_doc_LAW_5142/241d7b6a696c3bb0f9fe17fdc3f0a2795f770d86/
18.0,Аренда,Кто отвечает за текущий и капитальный ремонт?,"Обычно текущий ремонт — арендатор, капитальный — арендодатель, но можно изменить договором.",ГК РФ: ст. 616,https://www.consultant.ru/document/cons_doc_LAW_5142/663dc7b35d6fff4033e5fc382ec08f396d41c81e/
19.0,Ипотека,Что проверить при покупке квартиры в ипотеку?,"Обременение в ЕГРН, согласие банка, условия залога, порядок расчётов (аккредитив/эскроу), порядок снятия обременения.",ФЗ-102 «Об ипотеке»; ФЗ-218,https://www.consultant.ru/document/cons_doc_LAW_19396/ https://www.consultant.ru/document/cons_doc_LAW_182661/
20.0,Ипотека,Как снять обременение после погашения ипотеки?,Получить документы от банка о полном исполнении и подать заявление в Росреестр о погашении записи.,ФЗ-102; ФЗ-218,https://www.consultant.ru/document/cons_doc_LAW_19396/ https://www.consultant.ru/document/cons_doc_LAW_182661/
21.0,Ипотека,Можно ли продать квартиру с действующей ипотекой?,"Да, при согласии банка и согласованном механизме расчётов (погашение/перевод долга).",ФЗ-102; ГК РФ — уступка/перевод долга,https://www.consultant.ru/document/cons_doc_LAW_19396/ https://www.consultant.ru/document/cons_doc_LAW_5142/b207bc9b104b2dbe6c30c6810331f7ab59f298bf/ https://www.consultant.ru/document/cons_doc_LAW_5142/33dc22d01b73362054ef7aa15bb7975b473e54a4/
22.0,Ипотека,Что такое эскроу-счёт при покупке у застройщика?,Деньги хранятся до ввода объекта и регистрации права; снижает риски дольщика.,ФЗ-214; ГК РФ — условные обязательства,https://www.consultant.ru/document/cons_doc_LAW_51038/ https://www.consultant.ru/document/cons_doc_LAW_5142/e3361788dae66ff36dddf6d8d07ce518d1f097f0/
23.0,Ипотека,Можно ли использовать маткапитал как первоначальный взнос?,"Да, маткапитал направляется на улучшение жилищных условий, в т.ч. первоначальный взнос по ипотеке.",Закон о материнском капитале; подзаконные акты СФР,https://www.consultant.ru/document/cons_doc_LAW_28673/
24.0,Ипотека,Какие риски при покупке квартиры по переуступке?,"Проверить статус ДДУ, отсутствие задолженностей, согласия банка/застройщика; тщательно изучить договор цессии.",ФЗ-214; ГК РФ — уступка прав (цессия),https://www.consultant.ru/document/cons_doc_LAW_51038/ https://www.consultant.ru/document/cons_doc_LAW_5142/b207bc9b104b2dbe6c30c6810331f7ab59f298bf/
25.0,Ипотека,Когда банк может обратить взыскание на жильё?,При существенной просрочке и нарушении условий; процедуры и способы реализации установлены законом.,ФЗ-102; ГПК РФ — порядок взыскания,https://www.consultant.ru/document/cons_doc_LAW_19396/ https://www.consultant.ru/document/cons_doc_LAW_39570/
26.0,Дарение,Нужно ли нотариально удостоверять договор дарения квартиры?,"Не обязательно, но переход права подлежит регистрации; для долей — нотариально обязательно.",ГК РФ: ст. 572–574; ФЗ-218,https://www.consultant.ru/document/cons_doc_LAW_5142/2b1e11b27e8fe53c85bdb8d74740f213e8db85f2/ https://www.consultant.ru/document/cons_doc_LAW_5142/31a3484cbb29b040df8f5f512f6307ae92f301a7/ https://www.consultant.ru/document/cons_doc_LAW_5142/68cb2e26d3c4e56305ca39e0550a29cb7cba583d/ https://www.consultant.ru/document/cons_doc_LAW_182661/
27.0,Дарение,Можно ли отменить дарение?,"Да, в случаях, предусмотренных законом (неблагодарность, посягательство на жизнь дарителя и т.п.).",ГК РФ: ст. 578,https://www.consultant.ru/document/cons_doc_LAW_5142/e4343f793c51a7844a33a9e2c42464b78b7c0c16/
28.0,Наследство,Как оформить наследование квартиры?,"Нотариус по месту открытия наследства, принятие наследства, затем регистрация права в ЕГРН.",ГК РФ: раздел V; ФЗ-218,https://www.consultant.ru/document/cons_doc_LAW_34154/ef436dc12a21165e10cae7358d35895b967d6b39/ https://www.consultant.ru/document/cons_doc_LAW_182661/
29.0,Наследство,Сроки принятия наследства и что делать при их пропуске?,6 месяцев; при пропуске — восстановление срока через суд или согласие наследников.,ГК РФ: ст. 1154–1155,https://www.consultant.ru/document/cons_doc_LAW_34154/57ff7c52621b8b6da722f33d410158e02c436c32/ https://www.consultant.ru/document/cons_doc_LAW_34154/7e8c506f9916ca116e65bc30ec50ab91f2365eac/
30.0,Наследство,Можно ли продать унаследованную квартиру до регистрации права?,"Нет, отчуждение возможно только после регистрации права собственности в ЕГРН.",ФЗ-218; ГК РФ — возникновение права,https://www.consultant.ru/document/cons_doc_LAW_182661/ https://www.consultant.ru/document/cons_doc_LAW_5142/1946f279c3925b6402c64903e56362251c469e02/
31.0,ЕГРН,Где заказать выписку из ЕГРН и какие виды бывают?,"Через Росреестр/МФЦ; общедоступные и расширенные варианты (права, ограничения, история переходов).",ФЗ-218; приказы Росреестра,https://www.consultant.ru/document/cons_doc_LAW_182661/
32.0,Регистрация,Как подать документы на регистрацию перехода права собственности?,"Через МФЦ или онлайн; договор, заявления, госпошлина, сопутствующие документы по сделке.",ФЗ-218; административные регламенты,https://www.consultant.ru/document/cons_doc_LAW_182661/
33.0,ЕГРН,Что такое кадастровая стоимость и где её посмотреть?,Госоценка для налогов и сделок; доступна в выписке ЕГРН и на публичной кадастровой карте.,ФЗ об оценочной деятельности; НК РФ,https://www.consultant.ru/document/cons_doc_LAW_19586/ https://www.consultant.ru/document/cons_doc_LAW_28165/
34.0,Регистрация,Сроки регистрации перехода права?,Обычно 3–9 рабочих дней в зависимости от вида сделки и способа подачи.,ФЗ-218; регламенты Росреестра,https://www.consultant.ru/document/cons_doc_LAW_182661/
35.0,ЕГРН,Можно ли скрыть сведения о собственнике в выписке?,Общедоступные выписки маскируют персональные данные; расширенные — по законным основаниям ограниченному кругу.,ФЗ-218; 152-ФЗ «О персональных данных»,https://www.consultant.ru/document/cons_doc_LAW_182661/ https://www.consultant.ru/document/cons_doc_LAW_61801/
36.0,Земля,Как проверить категорию земель и вид разрешённого использования?,"Выписка ЕГРН, публичная кадастровая карта, правила землепользования и застройки (ПЗЗ).",ЗК РФ; ГрК РФ; ФЗ-218,https://www.consultant.ru/document/cons_doc_LAW_33773/ https://www.consultant.ru/document/cons_doc_LAW_190FZ/ https://www.consultant.ru/document/cons_doc_LAW_182661/
37.0,Земля,Можно ли строить жилой дом на участке СНТ?,Зависит от ВРИ и градрегламентов; для садовых домов действует уведомительный порядок.,ЗК РФ; ГрК РФ; закон о садоводстве,https://www.consultant.ru/document/cons_doc_LAW_33773/ https://www.consultant.ru/document/cons_doc_LAW_190FZ/ https://www.consultant.ru/document/cons_doc_LAW_32459/
38.0,Земля,Как объединить или разделить земельные участки?,Требуется межевой план от кадастрового инженера и регистрация изменений в ЕГРН.,ФЗ-218; приказы Росреестра; ЗК РФ,https://www.consultant.ru/document/cons_doc_LAW_182661/ https://www.consultant.ru/document/cons_doc_LAW_33773/
39.0,Земля,Что такое сервитут и когда он устанавливается?,"Ограниченное право пользования чужим участком (проход/проезд, коммуникации); устанавливается договором, актом или судом.",ГК РФ: ст. 274–276; ЗК РФ,https://www.consultant.ru/document/cons_doc_LAW_5142/71a742bf403bc97414ac368471873f8a690f99fb/ https://www.consultant.ru/document/cons_doc_LAW_5142/a17b5e3870e3e5061e9c0382194f6d5f3e7ac5f7/ https://www.consultant.ru/document/cons_doc_LAW_33773/
40.0,Земля,Как оспорить кадастровую стоимость?,"В комиссию при субъекте или в суд, приложив отчёт о рыночной стоимости и документы на объект.",ФЗ об оценочной деятельности; процессуальные нормы,https://www.consultant.ru/document/cons_doc_LAW_19586/ https://www.consultant.ru/document/cons_doc_LAW_39570/
41.0,Перепланировка,Нужны ли разрешения на перепланировку квартиры?,Если затрагиваются несущие/общедомовые конструкции или инженерия — требуется согласование; иначе риск узаконивания/сноса.,ЖК РФ: ст. 25–29; местные регламенты,https://www.consultant.ru/document/cons_doc_LAW_51057/
42.0,Перепланировка,Что считается переустройством и перепланировкой?,"Изменение конфигурации, перенос/устройство проёмов, инженерных сетей; отражается в техплане и ЕГРН.",ЖК РФ: ст. 25; ФЗ-218 — техплан,https://www.consultant.ru/document/cons_doc_LAW_51057/ https://www.consultant.ru/document/cons_doc_LAW_182661/
43.0,Строительство,Нужно ли разрешение на строительство ИЖС?,Уведомительный порядок: уведомление о планируемом строительстве и о завершении.,ГрК РФ; региональные акты,https://www.consultant.ru/document/cons_doc_LAW_190FZ/
44.0,Строительство,Можно ли узаконить самовольную постройку?,Возможно при соблюдении норм и прав третьих лиц; иначе — снос.,ГК РФ: ст. 222; ГрК РФ,https://www.consultant.ru/document/cons_doc_LAW_5142/71b1a1b57cf07bba468e2e4040d3ba93926ab9dd/ https://www.consultant.ru/document/cons_doc_LAW_190FZ/
45.0,Строительство,Что такое технический план и кто его готовит?,Документ для кадастрового учёта/регистрации изменений; готовит кадастровый инженер.,ФЗ-218; приказы Росреестра,https://www.consultant.ru/document/cons_doc_LAW_182661/
46.0,Коммунальные платежи,Как оспорить некорректные начисления за ЖКУ?,"Претензия в УК/ТСЖ с актами, затем — в жилинспекцию или суд при отсутствии реакции.",ЖК РФ; Правила предоставления коммунальных услуг,https://www.consultant.ru/document/cons_doc_LAW_51057/ https://www.consultant.ru/document/cons_doc_LAW_128279/
47.0,Собственность,Чем отличается общая совместная и долевая собственность?,Совместная — без долей (супруги); долевая — с установленными долями; различается порядок распоряжения.,ГК РФ: ст. 244–255; СК РФ: ст. 34–39,https://www.consultant.ru/document/cons_doc_LAW_5142/80c609c0e29ac50e927704c963f7ecc0e0b4a090/ https://www.consultant.ru/document/cons_doc_LAW_5142/77fff61206b9b5015034f49e3d8f1c063b415c61/ https://www.consultant.ru/document/cons_doc_LAW_5142/ebf4f27fa2f9d6bd012015a1f0271d9644ed39da/ https://www.consultant.ru/document/cons_doc_LAW_8959/bd7ce0876470862fb3b2a644d5ec6b5f961254c0/ https://www.consultant.ru/document/cons_doc_LAW_8959/6cb1a7793b73a3a98bf7f915d7b1f290a6cd2522/
48.0,Регистрация граждан,Можно ли продать квартиру с зарегистрированными жильцами?,"Формально можно, но лучше урегулировать снятие с регистрационного учёта заранее, чтобы избежать споров.",Закон о регистрации граждан; ЖК РФ — пользование,https://www.consultant.ru/document/cons_doc_LAW_15110/ https://www.consultant.ru/document/cons_doc_LAW_51057/
49.0,ДДУ/Новостройки,Что проверить при покупке квартиры у застройщика?,"Разрешение на строительство, проектную декларацию, эскроу-схему, сроки ввода и репутацию застройщика.",ФЗ-214; ГрК РФ,https://www.consultant.ru/document/cons_doc_LAW_51038/ https://www.consultant.ru/document/cons_doc_LAW_190FZ/
50.0,Налоги,Какие налоги при продаже квартиры?,НДФЛ при владении менее минимального срока; возможны вычеты/льготы; ориентироваться на кадастровую стоимость.,НК РФ: гл. 23; нормы о вычетах; минимальный срок владения,https://www.consultant.ru/document/cons_doc_LAW_19671/ https://www.consultant.ru/document/cons_doc_LAW_19671/e349606ecc8d42c1c5b4be4c439928786cd68adf/
